participant_id,vignette_num,Specialty,treatment_decision,treatment_hour
1,1,Emergency Medicine,Unsure,
2,1,Critical Care,No,
3,1,Emergency Medicine,Yes,54
4,1,Hospital/Internal Medicine,Yes,48
5,1,Hospital/Internal Medicine,No,
6,1,Emergency Medicine,Yes,55
7,1,Hospital/Internal Medicine,No,
8,1,Hospital/Internal Medicine,No,
9,1,Hospital/Internal Medicine,No,
10,1,Emergency Medicine,Yes,64
11,1,Hospital/Internal Medicine,Yes,54
12,1,Emergency Medicine,No,
13,1,Hospital/Internal Medicine,No,
14,1,Infectious Diseases,Yes,50
15,1,Hospital/Internal Medicine,No,
16,1,Hospital/Internal Medicine,Yes,85
17,1,Emergency Medicine,Yes,50
18,1,Emergency Medicine,Yes,67
19,1,Emergency Medicine,Yes,54
20,1,Other,Yes,66
21,1,Emergency Medicine,No,
22,1,Critical Care,No,
23,1,Hospital/Internal Medicine,Yes,61
24,1,Other,Yes,60
25,1,Hospital/Internal Medicine,Yes,60
26,1,Hospital/Internal Medicine,Yes,60
27,1,Hospital/Internal Medicine,Yes,55
28,1,Hospital/Internal Medicine,Yes,50
29,1,Critical Care,Yes,60
30,1,Infectious Diseases,Yes,60
31,1,Infectious Diseases,Unsure,
32,1,Hospital/Internal Medicine,Yes,60
33,1,Critical Care,Yes,64
34,1,Critical Care,Yes,66
35,1,Critical Care,Yes,60
36,1,Infectious Diseases,No,
37,1,Critical Care,No,
38,1,Hospital/Internal Medicine,No,
39,1,Hospital/Internal Medicine,Yes,66
40,1,Critical Care,No,
41,1,Hospital/Internal Medicine,Yes,50
42,1,Critical Care,Yes,53
43,1,Critical Care,Yes,50
44,1,Critical Care,No,
45,1,Infectious Diseases,Unsure,
46,1,Critical Care,Yes,1
47,1,Critical Care,Unsure,
48,1,Critical Care,No,
49,1,Critical Care,Yes,60
50,1,Critical Care,Yes,50
51,1,Critical Care,Yes,50
52,1,Critical Care,Yes,55
53,1,Critical Care,Yes,60
54,1,Infectious Diseases,Yes,60
55,1,Critical Care,No,
56,1,Critical Care,Unsure,
57,1,Infectious Diseases,Yes,66
58,1,Critical Care,No,
59,1,Critical Care,Unsure,
60,1,Critical Care,Yes,1
61,1,Critical Care,Yes,60
62,1,Critical Care,Unsure,
63,1,Hospital/Internal Medicine,Yes,60
64,1,Hospital/Internal Medicine,Yes,60
65,1,Hospital/Internal Medicine,Yes,53
66,1,Hospital/Internal Medicine,Yes,69
67,1,Hospital/Internal Medicine,Yes,53
68,1,Infectious Diseases,Yes,63
